LOR-Schlüssel (Bezirksregion),Bezeichnung (Bezirksregion),"Straftaten 
-insgesamt-",Raub,"Straßenraub,
Handtaschen-raub","Körper-verletzungen 
-insgesamt-",Gefährl. und schwere Körper-verletzung,"Freiheits-beraubung, Nötigung,
Bedrohung, Nachstellung","Diebstahl 
-insgesamt-",Diebstahl von Kraftwagen,"Diebstahl 
an/aus Kfz","Fahrrad-
diebstahl","Wohnraum-
einbruch","Branddelikte 
-insgesamt-","Brand-
stiftung",Sach-beschädigung -insgesamt-,Sach-beschädigung durch Graffiti,Rauschgift-delikte,Kieztaten
10000,Mitte,84145,927,546,8885,2646,3700,39391,543,5397,4372,780,473,150,6492,1142,2705,20743
11001,Tiergarten Süd,5368,77,53,508,118,237,2569,34,324,331,29,19,5,374,76,112,1630
11002,Regierungsviertel,7099,66,32,638,189,258,2992,10,232,295,32,18,4,564,135,140,1447
11003,Alexanderplatz,20197,186,110,2123,682,674,10609,69,826,998,154,88,25,1405,245,563,4241
11004,Brunnenstraße Süd,3703,25,15,299,85,169,1803,21,187,456,86,17,5,444,74,57,901
12005,Moabit West,5881,59,30,603,173,276,2131,64,373,329,77,42,17,491,81,164,1400
12006,Moabit Ost,10677,77,43,1089,249,398,4588,38,282,421,65,69,32,686,111,513,2299
13007,Osloer Straße,6298,90,56,805,228,346,3062,65,463,268,60,34,10,501,75,92,1797
13008,Brunnenstraße Nord,6915,82,46,828,302,426,2788,63,442,326,110,69,22,710,191,303,1903
14009,Parkviertel,6279,59,25,701,198,275,3389,83,998,361,87,49,11,463,29,104,1814
14010,Wedding Zentrum,8976,156,96,1075,343,455,4145,66,1010,482,78,48,13,676,103,539,2668
19900,"Bezirk (Mi), nicht zuzuordnen",2752,50,40,216,79,186,1315,30,260,105,2,20,6,178,22,118,643
20000,Friedrichshain-Kreuzberg,56923,1007,636,5895,2120,2036,26441,315,4395,3879,567,343,97,5372,843,3850,13709
21001,Südliche  Friedrichstadt,9802,163,85,1019,396,413,4026,60,691,478,56,73,11,797,99,925,2342
22002,Tempelhofer Vorstadt,10208,143,82,1036,345,371,5122,80,825,995,117,75,17,1145,196,296,2325
23003,Nördliche Luisenstadt,5557,112,73,591,246,181,2693,23,600,276,36,27,12,356,28,564,1230
23004,Südliche Luisenstadt,7710,252,178,614,309,182,3646,33,1292,521,63,45,19,598,75,862,1451
24005,Karl-Marx-Allee Nord,2794,32,18,309,74,134,1352,25,119,223,75,7,4,295,22,64,862
24006,Karl-Marx-Allee Süd,6408,92,64,765,240,227,3005,20,240,323,83,24,9,516,103,248,1633
25007,Frankfurter Allee Nord,3605,45,26,359,102,173,1683,29,132,299,62,37,6,484,62,96,1025
25008,Frankfurter Allee Süd FK,9374,125,77,1075,365,313,4142,37,345,658,74,46,16,1077,254,747,2568
29900,"Bezirk (Fh-Kb), nicht zuzuordnen",1465,43,33,127,43,42,772,8,151,106,1,9,3,104,4,48,273
30000,Pankow,38051,379,237,3866,967,1976,17897,654,2031,3072,796,297,73,4582,902,714,10431
31001,Buch,1863,12,6,277,70,138,665,17,93,56,13,21,9,235,46,25,513
32002,Blankenfelde/Niederschönhausen,1748,9,6,161,34,112,669,43,108,117,48,16,4,178,22,23,376
32003,Buchholz,905,8,7,116,25,53,374,32,86,42,31,8,0,93,5,14,243
33004,Karow,793,9,2,88,20,46,274,12,33,56,40,10,5,157,27,7,248
33005,Blankenburg/Heinersdorf/Märchenland,1842,14,6,144,35,62,671,18,86,51,51,15,2,188,24,8,319
34006,Schönholz/Wilhelmsruh/Rosenthal,1087,11,6,90,28,80,493,42,81,58,68,17,3,122,10,15,275
34007,Pankow Zentrum,3260,46,27,289,79,149,1553,44,129,324,88,14,2,348,71,47,822
34008,Pankow Süd,2488,22,10,250,53,133,1153,73,169,232,60,19,8,345,62,23,741
35009,Weißensee,3118,32,20,296,68,189,1497,66,174,258,69,30,7,393,79,37,956
35010,Weißensee Ost,1436,12,7,185,32,97,579,41,112,63,38,19,4,225,14,12,517
36011,Prenzlauer Berg Nordwest,3283,48,39,358,90,171,1607,45,117,287,42,19,4,390,126,116,992
36012,Prenzlauer Berg Nord,2563,12,7,198,50,100,1519,37,131,311,52,16,2,245,38,52,712
36013,Helmholtzplatz,2121,15,9,198,52,82,1059,21,53,236,18,10,0,303,100,58,607
36014,Prenzlauer Berg Ost,4846,57,34,435,103,227,2621,70,320,251,77,36,10,497,94,101,1107
37015,Prenzlauer Berg Südwest,3341,37,26,504,160,128,1492,24,95,328,42,17,2,448,106,80,1003
37016,Prenzlauer Berg Süd,2548,21,13,219,51,142,1289,45,144,322,58,22,8,348,72,46,829
39900,"Bezirk (Pk), nicht zuzuordnen",809,14,12,58,17,67,382,24,100,80,1,8,3,67,6,50,171
40000,Charlottenburg-Wilmersdorf,52921,475,304,4975,1293,2394,24097,785,4937,2871,969,234,101,4410,833,990,14058
41001,Charlottenburg Nord,2976,23,11,389,84,217,973,75,318,44,37,26,13,213,11,334,908
42002,Heerstraße,1847,21,15,323,139,60,694,31,242,48,50,12,4,211,70,23,571
42003,Westend,3552,34,19,278,55,242,1738,71,410,160,78,12,8,341,49,30,955
43004,Schloss Charlottenburg,5096,46,32,514,112,300,2361,72,408,433,90,36,11,621,170,96,1522
43005,Mierendorffplatz,2349,32,23,318,93,122,978,41,161,112,18,15,9,241,39,35,731
43006,Otto-Suhr-Allee/Kantstraße,7975,76,42,758,186,323,4047,70,570,556,105,44,15,671,118,94,2017
44007,Grunewald,2137,15,10,158,26,119,993,49,361,57,140,9,5,240,53,16,657
44008,Schmargendorf,2362,21,9,248,50,117,1200,87,246,214,81,7,4,242,30,28,770
45009,Halensee,5030,41,28,327,72,192,2293,79,535,249,78,16,7,301,32,33,1130
45010,Lietzenburger Straße,12963,83,51,1142,346,368,5452,89,942,464,142,28,14,778,184,207,3085
45011,Volkspark Wilmersdorf,5466,55,37,414,101,271,2753,92,547,464,148,25,9,468,70,81,1451
49900,"Bezirk (Ch-Wi), nicht zuzuordnen",1168,28,27,106,29,63,615,29,197,70,2,4,2,83,7,13,261
50000,Spandau,25781,270,168,3206,748,1549,10686,562,2162,724,485,214,75,2349,237,496,7811
51001,Hakenfelde,2141,15,6,242,49,132,959,75,201,62,41,20,6,235,8,33,734
51002,Falkenhagener Feld,2817,23,14,458,104,230,1073,91,213,73,90,34,13,276,13,41,1125
51003,Spandau Mitte,5646,88,59,792,197,364,2158,75,370,156,41,34,15,522,52,216,1761
52004,Brunsbütteler Damm,1482,17,14,190,39,90,628,41,161,34,69,20,6,160,12,14,450
52005,Heerstraße,2326,30,20,353,74,174,854,58,273,30,61,29,8,229,4,21,799
52006,Wilhelmstadt,6079,54,27,621,164,249,2576,59,314,173,85,31,11,432,95,99,1518
53007,Haselhorst,2068,17,9,241,63,145,972,77,261,64,51,11,5,156,7,34,623
53008,Siemensstadt,1728,10,7,141,35,78,884,54,212,72,23,11,3,157,23,23,447
54009,Gatow/Kladow,830,5,3,108,12,54,293,10,45,32,24,17,4,110,17,8,211
59900,"Bezirk (Sp), nicht zuzuordnen",664,11,9,60,11,33,289,22,112,28,0,7,4,72,6,7,143
60000,Steglitz-Zehlendorf,23212,153,92,1965,407,1105,10722,690,1665,1593,993,126,41,2853,572,301,5558
61001,Schloßstraße,3506,27,12,242,54,111,2063,44,143,335,39,8,3,196,40,32,554
61002,Albrechtstraße,2960,16,10,287,63,144,1329,120,226,234,98,13,3,331,48,29,890
62003,Lankwitz,2585,15,12,337,69,190,976,108,175,87,113,13,3,260,26,39,771
62004,Ostpreußendamm,2036,14,8,203,36,102,908,92,134,112,133,22,5,254,67,19,491
63005,Teltower Damm,2449,21,10,188,31,134,1214,79,189,188,132,11,3,245,31,28,586
63006,Drakestraße,3238,16,9,283,61,166,1390,121,245,207,133,21,6,493,25,45,846
64007,Zehlendorf Südwest,2451,10,5,183,41,115,932,36,173,126,103,17,8,523,220,25,542
64008,Zehlendorf Nord,3448,25,18,216,49,115,1612,79,308,235,242,16,7,495,113,80,761
69900,"Bezirk (St-Zd), nicht zuzuordnen",539,9,8,26,3,28,298,11,72,69,0,5,3,56,2,4,117
70000,Tempelhof-Schöneberg,40546,338,200,3996,974,2005,18774,846,3212,2493,796,169,50,3555,672,1209,10877
71001,Schöneberg Nordwest,7368,89,47,667,184,236,4258,66,592,446,68,21,8,519,53,221,2141
71002,Schöneberg Nordost,3047,30,14,236,68,104,1665,30,239,302,49,13,4,306,62,69,826
72003,Schöneberg Südwest,2057,17,14,214,60,157,1011,30,168,189,54,8,2,181,25,35,680
72004,Schöneberg Südost,5240,33,15,539,155,181,2242,48,239,419,44,20,5,419,143,107,1107
73005,Friedenau West,1886,12,9,176,29,82,1019,38,116,282,72,4,2,183,38,24,500
73006,Friedenau Ost,1881,21,10,137,36,118,985,73,149,194,29,13,6,184,23,38,536
74007,Tempelhof Nord,2954,20,13,301,60,186,1036,34,196,120,41,9,1,245,77,172,873
74008,Tempelhof Südwest,3874,29,21,383,90,171,1607,89,344,170,44,22,7,350,94,376,930
74009,Tempelhof Südost,2219,13,8,202,61,103,1022,79,279,71,33,11,6,171,20,41,524
75010,Mariendorf Nord,2610,9,4,263,55,151,1058,72,226,71,62,16,5,227,21,36,679
75011,Mariendorf Süd,1705,10,7,191,35,101,678,69,162,52,50,9,2,144,22,31,471
76012,Marienfelde Nord,1114,5,0,120,26,69,480,56,96,34,78,4,0,109,33,11,292
76013,Marienfelde Süd,1091,11,7,152,41,88,349,23,84,23,20,2,1,129,12,7,339
76014,Lichtenrade Nord,866,4,2,123,21,74,334,54,74,11,90,5,0,98,10,8,282
76015,Lichtenrade Süd,1732,14,9,223,31,132,565,65,137,43,58,11,1,231,29,22,521
79900,"Bezirk (Th-Sb), nicht zuzuordnen",902,21,20,69,22,52,465,20,111,66,4,1,0,59,10,11,176
80000,Neukölln,44884,457,253,4575,1489,2229,21408,742,5013,2169,769,392,133,4239,370,1442,11528
81001,Schillerpromenade,4802,61,32,477,172,167,2555,28,538,426,44,42,15,393,36,266,1245
81002,Neuköllner Mitte/Zentrum,8777,77,40,781,283,268,4602,36,929,382,68,57,13,706,70,273,1810
81003,Reuterstraße,7422,91,48,663,297,268,3703,35,901,389,76,74,17,766,91,319,1801
81004,Rixdorf,5207,54,30,517,192,225,2425,55,586,440,61,59,24,511,30,247,1305
81005,Köllnische Heide,2882,23,13,252,96,155,1156,65,367,58,48,39,13,385,20,72,688
82006,Britz Nord,2409,23,11,287,64,169,1045,66,337,96,62,13,8,217,13,56,730
82007,Britz,2804,29,18,293,61,148,1391,103,300,116,65,19,6,260,48,40,794
82008,Buckow,1670,11,7,236,39,156,637,91,179,37,78,14,5,155,1,31,564
83009,Gropiusstadt West,2131,25,11,224,58,132,1118,61,182,48,55,17,9,189,19,21,583
83010,Gropiusstadt Ost,1683,15,9,299,75,179,531,32,123,30,37,33,7,226,14,33,661
84011,Buckow Nord,1117,9,6,112,22,100,501,35,104,28,23,7,4,83,2,9,319
84012,Rudow,2876,20,13,350,95,202,1122,121,276,74,152,17,11,275,23,47,813
89900,"Bezirk (Nk), nicht zuzuordnen",1104,19,15,84,35,60,622,14,191,45,0,1,1,73,3,28,215
90000,Treptow-Köpenick,25729,208,124,2833,684,1502,11702,577,1874,2253,632,181,65,3175,514,476,7411
91001,Alt-Treptow,2477,39,28,211,67,178,1283,19,267,311,28,13,7,211,27,143,718
91002,Plänterwald,1094,10,5,85,20,52,628,38,152,64,45,6,5,92,6,20,316
91003,Baumschulenweg,1705,13,9,173,39,91,858,63,170,108,52,7,2,179,33,34,534
91004,Johannisthal,1754,12,6,156,37,92,850,24,169,101,41,10,4,225,26,19,601
92005,Oberschöneweide,2257,15,3,316,61,104,941,56,165,233,44,27,10,306,49,42,688
92006,Niederschöneweide,2267,22,15,212,57,96,1115,31,141,219,39,24,2,332,114,25,656
92007,Adlershof,2172,15,7,220,50,93,971,44,147,192,27,9,1,294,29,25,532
92008,Köllnische Vorstadt/Spindlersfeld,913,12,6,99,15,81,358,17,51,54,25,7,4,121,14,20,323
93009,Altglienicke,2076,13,6,287,66,165,850,70,116,112,62,21,9,284,23,33,669
93010,Bohnsdorf,1203,4,3,138,39,89,522,49,84,42,52,10,0,135,8,13,316
93011,Grünau,709,2,1,84,31,42,280,20,36,80,20,12,6,113,18,7,217
93012,Schmöckwitz,168,0,0,19,3,5,54,2,8,10,8,2,2,21,4,0,28
94013,Köpenick Süd,622,3,1,68,5,32,265,8,28,71,40,4,2,76,3,10,168
94014,Allende-Viertel,896,4,2,109,17,44,456,26,80,87,16,5,2,91,20,8,231
94015,Altstadt Köpenick,669,4,3,125,15,65,199,6,15,49,5,3,2,80,10,8,248
94016,Müggelheim,227,2,1,41,12,14,63,3,5,5,11,1,0,35,6,1,69
95017,Friedrichshagen,1112,6,6,128,39,76,504,39,53,167,28,5,1,156,45,13,281
95018,Rahnsdorf,616,3,3,60,12,31,238,8,38,65,29,4,1,109,25,4,127
95019,Dammvorstadt,1532,17,13,189,67,44,678,15,37,126,13,5,1,156,31,36,330
95020,Köpenick Nord,597,6,2,55,15,44,287,11,38,86,46,1,1,72,8,4,184
99900,"Bezirk (Tp-Kp), nicht zuzuordnen",663,6,4,58,17,64,302,28,74,71,1,5,3,87,15,11,175
100000,Marzahn-Hellersdorf,24595,263,180,3333,755,1570,9994,660,1592,739,658,310,80,2807,309,353,7480
101001,Marzahn Nord,2189,26,19,413,102,182,684,67,94,44,29,24,4,320,50,41,887
101002,Marzahn Mitte,5050,61,48,652,157,327,2064,163,368,95,100,55,10,532,56,78,1561
101003,Marzahn Süd,4136,32,15,420,85,230,1907,121,350,82,94,56,14,420,28,50,1043
102004,Hellersdorf Nord,4071,45,34,722,172,324,1444,106,221,78,58,28,8,507,30,62,1563
102005,Hellersdorf Ost,1659,23,14,303,60,119,578,44,102,57,24,36,8,211,19,14,640
102006,Hellersdorf Süd,1912,26,20,304,71,128,728,56,94,77,19,59,24,255,51,22,675
103007,Biesdorf,2473,25,14,224,45,102,1139,37,150,137,126,25,4,205,17,46,466
104008,Kaulsdorf,1267,7,4,132,32,68,557,18,83,64,97,12,3,147,14,16,300
104009,Mahlsdorf,1414,7,3,119,21,71,698,29,79,81,110,10,3,161,41,18,249
109900,"Bezirk (Mz-Hd), nicht zuzuordnen",424,11,9,44,10,19,195,19,51,24,1,5,2,49,3,6,96
110000,Lichtenberg,30189,253,179,3466,844,1498,13949,721,1907,1631,621,275,81,3747,685,533,8745
111001,Malchow,356,1,1,42,7,31,134,4,12,9,12,3,0,44,5,2,132
111002,Neu-Hohenschönhausen Nord,2239,20,14,361,84,171,731,80,139,44,38,23,5,324,38,47,775
111003,Neu-Hohenschönhausen Süd,2692,36,31,378,84,166,1082,59,158,82,30,28,11,422,57,35,981
112004,Alt-Hohenschönhausen Nord,1684,13,10,219,55,108,683,43,121,43,59,24,5,173,12,30,450
112005,Alt-Hohenschönhausen Süd,2945,21,18,379,95,139,1299,102,260,152,117,44,7,357,49,39,966
113006,Fennpfuhl,2992,26,15,340,79,159,1379,79,247,125,83,39,16,440,44,42,892
113007,Alt-Lichtenberg,5573,42,28,580,152,206,3080,88,321,286,46,38,10,477,70,99,1337
113008,Frankfurter Allee Süd,1890,18,11,184,57,65,672,42,116,60,12,5,3,265,149,59,374
114009,Neu-Lichtenberg,3316,30,16,334,84,127,1684,55,161,316,55,20,9,425,83,69,1038
114010,Friedrichsfelde Nord,1596,15,11,180,53,86,722,46,128,95,30,11,3,198,47,31,496
114011,Friedrichsfelde Süd,2162,9,9,220,37,104,1086,59,94,118,53,22,7,278,53,28,530
115012,Rummelsburger Bucht,497,2,2,30,6,23,279,8,25,94,8,6,4,55,17,14,115
115013,Karlshorst,1733,12,8,177,41,85,884,36,65,188,78,11,1,234,59,26,542
119900,"Bezirk (Lb), nicht zuzuordnen",514,8,5,42,10,28,234,20,60,19,0,1,0,55,2,12,117
120000,Reinickendorf,26103,264,148,2997,731,1591,10037,437,2159,962,457,158,59,2436,319,566,7324
121001,Ost 1 - Reginhardstraße,2788,27,16,286,70,193,1331,49,337,127,49,23,7,288,36,44,1005
121002,Ost 2 - Alt-Reinickendorf,3601,49,25,351,85,202,1660,68,506,155,53,27,10,313,44,79,931
122003,West 4 - Auguste-Viktoria-Allee,3117,36,20,460,121,221,1374,34,220,101,40,7,1,245,18,44,1022
122004,West 1 - Tegel-Süd/Flughafensee,2603,15,8,338,82,187,804,28,208,27,32,25,15,224,9,251,829
122005,West 5 - Tegel,1626,25,17,153,40,65,836,12,48,52,9,3,2,117,17,14,331
124006,West 2 - Heiligensee/Konradshöhe,860,4,2,82,14,61,306,12,37,65,40,8,4,133,16,18,208
124007,Nord 1 - Frohnau/Hermsdorf,1616,13,6,128,34,87,716,38,118,201,95,5,0,271,61,14,342
125008,West 3 - Borsigwalde/Freie Scholle,1001,8,3,140,31,88,362,23,91,33,24,8,3,105,14,13,344
125009,Nord 2 - Waidmannslust/Wittenau/Lübars,4611,24,14,372,90,162,1080,76,225,84,57,15,5,282,61,32,750
126010,Rollbergesiedlung,883,19,9,118,37,66,368,23,85,13,13,9,3,71,3,13,281
126011,MV Nord,1944,30,19,358,86,144,710,41,148,51,19,19,5,229,22,17,797
126012,MV Süd,785,7,3,142,28,56,229,20,68,17,26,7,3,97,16,17,312
129900,"Bezirk (Rd), nicht zuzuordnen",668,7,6,69,13,59,261,13,68,36,0,2,1,61,2,10,172
999900,"Stadtgebiet Berlin, nicht zuzuordnen",65970,127,69,646,189,2235,8488,42,497,341,6,3,2,1023,468,811,3198
999999,Berlin (PKS gesamt),539049,5121,3136,50638,13847,25390,223586,7574,36841,27099,8529,3175,1007,47040,7866,14446,128873
